'Home Team', 'Away Team', 'Home Odds', "Away Odds", 'Date', 'Result', 'Prediction', 'Correct?','Bet Result', 'Total'
Detroit Pistons,Indiana Pacers,2.63,1.49,2024-10-23 15:51:32.101315,?,0,?,?,?
Atlanta Hawks,Brooklyn Nets,1.29,3.66,2024-10-23 15:51:32.101346,?,0,?,?,?
Toronto Raptors,Cleveland Cavaliers,1.4,2.98,2024-10-23 15:51:32.101359,?,0,?,?,?
Miami Heat,Orlando Magic,1.73,2.11,2024-10-23 15:51:32.101371,?,1,?,?,?
Philadelphia 76ers,Milwaukee Bucks,1.59,2.36,2024-10-23 15:51:32.101382,?,1,?,?,?
Houston Rockets,Charlotte Hornets,3.25,1.35,2024-10-23 15:51:32.101393,?,1,?,?,?
New Orleans Pelicans,Chicago Bulls,3.25,1.35,2024-10-23 15:51:32.101403,?,1,?,?,?
Utah Jazz,Memphis Grizzlies,1.65,2.24,2024-10-23 15:51:32.101416,?,0,?,?,?
Portland Trail Blazers,Golden State Warriors,1.4,2.98,2024-10-23 15:51:32.101428,?,0,?,?,?
LA Clippers,Phoenix Suns,2.6,1.5,2024-10-23 15:51:32.101439,?,1,?,?,?
Washington Wizards,Boston Celtics,1.11,6.7,2024-10-24 19:07:48.461925,?,0,?,?,?
Dallas Mavericks,San Antonio Spurs,1.27,3.78,2024-10-24 19:07:48.461954,?,1,?,?,?
Denver Nuggets,Oklahoma City Thunder,1.73,2.12,2024-10-24 19:07:48.461968,?,1,?,?,?
Sacramento Kings,Minnesota Timberwolves,1.8,2.05,2024-10-24 19:07:48.461983,?,1,?,?,?
Washington Wizards,Boston Celtics,1.11,6.7,2024-10-24 19:16:32.257981,?,0,?,?,?
Dallas Mavericks,San Antonio Spurs,1.27,3.78,2024-10-24 19:16:32.258064,?,1,?,?,?
Denver Nuggets,Oklahoma City Thunder,1.73,2.12,2024-10-24 19:16:32.258124,?,1,?,?,?
Sacramento Kings,Minnesota Timberwolves,1.8,2.05,2024-10-24 19:16:32.258177,?,1,?,?,?
Orlando Magic,Brooklyn Nets,5.8,1.14,2024-10-25 20:15:17.098166,?,1,?,?,?
Toronto Raptors,Philadelphia 76ers,1.5,2.6,2024-10-25 20:15:17.098213,?,0,?,?,?
Atlanta Hawks,Charlotte Hornets,1.45,2.78,2024-10-25 20:15:17.098234,?,1,?,?,?
Cleveland Cavaliers,Detroit Pistons,1.18,4.9,2024-10-25 20:15:17.098249,?,1,?,?,?
New York Knicks,Indiana Pacers,2.96,1.4,2024-10-25 20:15:17.098265,?,1,?,?,?
Milwaukee Bucks,Chicago Bulls,4.45,1.21,2024-10-25 20:15:17.098277,?,1,?,?,?
Houston Rockets,Memphis Grizzlies,1.65,2.25,2024-10-25 20:15:17.098290,?,1,?,?,?
Utah Jazz,Golden State Warriors,1.66,2.23,2024-10-25 20:15:17.098309,?,0,?,?,?
Los Angeles Lakers,Phoenix Suns,1.81,2.04,2024-10-25 20:15:17.098325,?,1,?,?,?
Portland Trail Blazers,New Orleans Pelicans,1.42,2.9,2024-10-25 20:15:17.098345,?,0,?,?,?
Denver Nuggets,LA Clippers,1.3,3.57,2024-10-26 20:07:30.243917,?,1,?,?,?
Detroit Pistons,Boston Celtics,1.08,8.0,2024-10-26 20:07:30.243958,?,0,?,?,?
Charlotte Hornets,Miami Heat,2.61,1.5,2024-10-26 20:07:30.243972,?,0,?,?,?
Washington Wizards,Cleveland Cavaliers,1.22,4.35,2024-10-26 20:07:30.243993,?,0,?,?,?
Chicago Bulls,Oklahoma City Thunder,4.45,1.21,2024-10-26 20:07:30.244007,?,0,?,?,?
Memphis Grizzlies,Orlando Magic,2.01,1.83,2024-10-26 20:07:30.244018,?,0,?,?,?
Minnesota Timberwolves,Toronto Raptors,1.1,7.0,2024-10-26 20:07:30.244029,?,1,?,?,?
San Antonio Spurs,Houston Rockets,1.74,2.1,2024-10-26 20:07:30.244040,?,0,?,?,?
Phoenix Suns,Dallas Mavericks,1.68,2.19,2024-10-26 20:07:30.244051,?,1,?,?,?
Los Angeles Lakers,Sacramento Kings,1.65,2.25,2024-10-26 20:07:30.244062,?,1,?,?,?
Denver Nuggets,LA Clippers,1.3,3.57,2024-10-26 20:27:25.887330,?,1,?,?,?
Detroit Pistons,Boston Celtics,8.0,1.08,2024-10-26 20:27:25.887370,?,0,?,?,?
Charlotte Hornets,Miami Heat,2.62,1.5,2024-10-26 20:27:25.887383,?,0,?,?,?
Washington Wizards,Cleveland Cavaliers,4.35,1.22,2024-10-26 20:27:25.887394,?,0,?,?,?
Chicago Bulls,Oklahoma City Thunder,4.45,1.21,2024-10-26 20:27:25.887404,?,0,?,?,?
Memphis Grizzlies,Orlando Magic,2.01,1.83,2024-10-26 20:27:25.887415,?,0,?,?,?
Minnesota Timberwolves,Toronto Raptors,1.11,6.7,2024-10-26 20:27:25.887426,?,1,?,?,?
San Antonio Spurs,Houston Rockets,2.1,1.74,2024-10-26 20:27:25.887437,?,0,?,?,?
Phoenix Suns,Dallas Mavericks,2.19,1.68,2024-10-26 20:27:25.887447,?,1,?,?,?
Los Angeles Lakers,Sacramento Kings,1.65,2.25,2024-10-26 20:27:25.887458,?,1,?,?,?
Indiana Pacers,Philadelphia 76ers,1.29,3.66,2024-10-27 20:38:35.298492,?,1,?,?,?
Brooklyn Nets,Milwaukee Bucks,4.35,1.22,2024-10-27 20:38:35.298533,?,0,?,?,?
Portland Trail Blazers,New Orleans Pelicans,3.21,1.35,2024-10-27 20:38:35.298545,?,0,?,?,?
Oklahoma City Thunder,Atlanta Hawks,1.2,4.6,2024-10-27 20:38:35.298559,?,1,?,?,?
Golden State Warriors,LA Clippers,1.2,4.45,2024-10-27 20:38:35.298572,?,1,?,?,?
Orlando Magic,Indiana Pacers,1.37,3.11,2024-10-28 19:07:13.588477,?,1,?,?,?
Atlanta Hawks,Washington Wizards,1.31,3.5,2024-10-28 19:07:13.588517,?,1,?,?,?
Boston Celtics,Milwaukee Bucks,1.21,4.45,2024-10-28 19:07:13.588528,?,1,?,?,?
New York Knicks,Cleveland Cavaliers,1.62,2.3,2024-10-28 19:07:13.588539,?,1,?,?,?
Toronto Raptors,Denver Nuggets,4.0,1.24,2024-10-28 19:07:13.588550,?,0,?,?,?
Miami Heat,Detroit Pistons,1.28,3.7,2024-10-28 19:07:13.588560,?,1,?,?,?
Memphis Grizzlies,Chicago Bulls,1.34,3.3,2024-10-28 19:07:13.588573,?,0,?,?,?
San Antonio Spurs,Houston Rockets,2.28,1.63,2024-10-28 19:07:13.588585,?,0,?,?,?
Dallas Mavericks,Utah Jazz,1.17,5.1,2024-10-28 19:07:13.588598,?,1,?,?,?
Phoenix Suns,Los Angeles Lakers,1.65,2.24,2024-10-28 19:07:13.588611,?,1,?,?,?
Sacramento Kings,Portland Trail Blazers,1.13,6.05,2024-10-28 19:07:13.588623,?,1,?,?,?
Brooklyn Nets,Denver Nuggets,2.92,1.41,2024-10-29 14:51:49.766217,?,0,?,?,?
Minnesota Timberwolves,Dallas Mavericks,1.47,2.7,2024-10-29 14:51:49.766262,?,1,?,?,?
Utah Jazz,Sacramento Kings,2.96,1.4,2024-10-29 14:51:49.766274,?,0,?,?,?
Golden State Warriors,New Orleans Pelicans,2.26,1.64,2024-10-29 14:51:49.766288,?,1,?,?,?
Brooklyn Nets,Denver Nuggets,2.92,1.41,2024-10-29 19:05:40.328622,?,0,?,?,?
Minnesota Timberwolves,Dallas Mavericks,1.47,2.7,2024-10-29 19:05:40.329839,?,1,?,?,?
Utah Jazz,Sacramento Kings,2.96,1.4,2024-10-29 19:05:40.329854,?,0,?,?,?
Golden State Warriors,New Orleans Pelicans,2.26,1.64,2024-10-29 19:05:40.329880,?,1,?,?,?
