Home Team,Away Team,Home Odds,Away Odds,Date,Result,Prediction,Correct?,Bet Result,Total
Memphis Grizzlies,Denver Nuggets,2.9,1.43,2023-10-27,L,Away W,True,43,43
Charlotte Hornets,Detroit Pistons,1.53,2.58,2023-10-27,L,Away W,True,158.0,201
Atlanta Hawks,New York Knicks,1.98,1.86,2023-10-27,L,Away W,True,86,287
Boston Celtics,Miami Heat,1.28,3.9,2023-10-27,W,Home W,True,27,314
Cleveland Cavaliers,Oklahoma City Thunder,1.75,2.14,2023-10-27,L,Away W,True,114.0,428
San Antonio Spurs,Houston Rockets,1.64,2.32,2023-10-27,W,Home W,True,64,492
Chicago Bulls,Toronto Raptors,1.74,2.16,2023-10-27,W,Away W,False,-100,392
Dallas Mavericks,Brooklyn Nets,1.43,2.94,2023-10-27,W,Home W,True,42,434
Utah Jazz,LA Clippers,-,-,2023-10-27,W,Away W,False,-100,334
Sacramento Kings,Golden State Warriors,1.62,2.36,2023-10-27,L,Away W,True,136.0,470
Portland Trail Blazers,Orlando Magic,2.42,1.6,2023-10-27,L,Away W,True,59,529
New Orleans Pelicans,New York Knicks,1.68,2.24,2023-10-28,W,Home W,True,68,597
Detroit Pistons,Chicago Bulls,2.2,1.7,2023-10-28,W,Home W,True,120.0,717
Washington Wizards,Memphis Grizzlies,1.98,1.86,2023-10-28,W,Home W,True,98,815
Cleveland Cavaliers,Indiana Pacers,2.5,1.56,2023-10-28,L,Away W,True,56,871
Toronto Raptors,Philadelphia 76ers,2.64,1.51,2023-10-28,L,Away W,True,50,921
Minnesota Timberwolves,Miami Heat,1.24,3.9,2023-10-28,W,Home W,True,24,945
Phoenix Suns,Utah Jazz,1.48,2.76,2023-10-28,W,Home W,True,47,992
Oklahoma City Thunder,Denver Nuggets,2.38,1.61,2023-10-29,L,Away W,True,60,1052
Houston Rockets,Golden State Warriors,3.2,1.37,2023-10-29,L,Away W,True,37,1089
Milwaukee Bucks,Atlanta Hawks,1.39,3.1,2023-10-29,L,Home W,False,-100,989
Philadelphia 76ers,Portland Trail Blazers,1.22,4.5,2023-10-29,W,Home W,True,22,1011
Sacramento Kings,Los Angeles Lakers,1.7,2.2,2023-10-29,W,Home W,True,70,1081
LA Clippers,San Antonio Spurs,-,-,2023-10-29,W,Home W,True,0,1081
Washington Wizards,Boston Celtics,5.2,1.18,2023-10-30,L,Away W,True,17,1098
Charlotte Hornets,Brooklyn Nets,2.08,1.79,2023-10-30,L,Away W,True,79,1177
Indiana Pacers,Chicago Bulls,1.62,2.36,2023-10-30,L,Away W,True,136.0,1313
Atlanta Hawks,Minnesota Timberwolves,2.18,1.74,2023-10-30,W,Home W,True,118.0,1431
Toronto Raptors,Portland Trail Blazers,1.22,4.5,2023-10-30,L,Home W,False,-100,1331
Memphis Grizzlies,Dallas Mavericks,1.85,2.0,2023-10-30,L,Away W,True,100.0,1431
New Orleans Pelicans,Golden State Warriors,1.69,2.22,2023-10-30,L,Away W,True,122.0,1553
Oklahoma City Thunder,Detroit Pistons,1.34,3.2,2023-10-30,W,Home W,True,33,1586
Milwaukee Bucks,Miami Heat,1.31,3.6,2023-10-30,W,Home W,True,31,1617
Denver Nuggets,Utah Jazz,1.25,4.2,2023-10-30,W,Home W,True,24,1641
Los Angeles Lakers,Orlando Magic,1.61,2.38,2023-10-30,W,Away W,False,-100,1541
Cleveland Cavaliers,New York Knicks,2.02,1.83,2023-10-31,L,Away W,True,83,1624
Phoenix Suns,San Antonio Spurs,1.33,3.45,2023-10-31,L,Home W,False,-100,1524
LA Clippers,Orlando Magic,-,-,2023-10-31,W,Home W,True,0,1524
Toronto Raptors,Milwaukee Bucks,2.6,1.53,2023-11-01,W,Away W,False,-100,1424
Detroit Pistons,Portland Trail Blazers,1.62,2.36,2023-11-01,L,Away W,True,136.0,1560
Boston Celtics,Indiana Pacers,1.12,6.9,2023-11-01,W,Home W,True,11,1571
Atlanta Hawks,Washington Wizards,1.23,4.5,2023-11-01,W,Home W,True,23,1594
New York Knicks,Cleveland Cavaliers,1.44,2.88,2023-11-01,L,Home W,False,-100,1494
Miami Heat,Brooklyn Nets,1.32,3.3,2023-11-01,L,Home W,False,-100,1394
Oklahoma City Thunder,New Orleans Pelicans,1.65,2.3,2023-11-01,L,Away W,True,130.0,1524
Houston Rockets,Charlotte Hornets,1.65,2.3,2023-11-01,W,Home W,True,64,1588
Minnesota Timberwolves,Denver Nuggets,2.14,1.75,2023-11-01,W,Away W,False,-100,1488
Dallas Mavericks,Chicago Bulls,1.61,2.38,2023-11-01,W,Home W,True,60,1548
Utah Jazz,Memphis Grizzlies,1.77,2.1,2023-11-01,W,Home W,True,76,1624
Golden State Warriors,Sacramento Kings,1.39,3.1,2023-11-01,W,Home W,True,39,1663
Los Angeles Lakers,LA Clippers,-,-,2023-11-01,W,Home W,True,0,1663
Philadelphia 76ers,Toronto Raptors,1.34,3.4,2023-11-02,W,Home W,True,33,1696
New Orleans Pelicans,Detroit Pistons,1.52,2.62,2023-11-02,W,Home W,True,51,1747
Utah Jazz,Orlando Magic,2.02,1.83,2023-11-02,L,Away W,True,83,1830
Phoenix Suns,San Antonio Spurs,1.2,4.8,2023-11-02,L,Home W,False,-100,1730
Indiana Pacers,Cleveland Cavaliers,2.2,1.7,2023-11-03,W,Home W,True,120.0,1850
Milwaukee Bucks,New York Knicks,1.44,2.88,2023-11-03,W,Away W,False,-100,1750
Chicago Bulls,Brooklyn Nets,1.56,2.5,2023-11-03,L,Away W,True,150.0,1900
Oklahoma City Thunder,Golden State Warriors,3.05,1.4,2023-11-03,L,Away W,True,40,1940
