Home Team,Away Team,Home Odds,Away Odds,Date,Result,Prediction,Correct?,Bet Result,Total
Boston Celtics,Toronto Raptors,,,2019-10-25,Over,Over,True,105.0,105
Charlotte Hornets,Minnesota Timberwolves,,,2019-10-25,-,Under,False,0,105
Brooklyn Nets,New York Knicks,,,2019-10-25,Under,Under,True,120.0,225
Oklahoma City Thunder,Washington Wizards,,,2019-10-25,Under,Under,True,83,308
New Orleans Pelicans,Dallas Mavericks,,,2019-10-25,Over,Over,True,115.0,423
Memphis Grizzlies,Chicago Bulls,,,2019-10-25,Under,Under,True,100.0,523
Denver Nuggets,Phoenix Suns,,,2019-10-25,Under,Under,True,80,603
Sacramento Kings,Portland Trail Blazers,,,2019-10-25,Over,Over,True,80,683
Los Angeles Lakers,Utah Jazz,,,2019-10-25,Under,Under,True,83,766
Milwaukee Bucks,Miami Heat,,,2019-10-26,Over,Over,True,105.0,871
Detroit Pistons,Philadelphia 76ers,,,2019-10-26,Over,Over,True,90,961
New York Knicks,Boston Celtics,,,2019-10-26,Over,Over,True,120.0,1081
Atlanta Hawks,Orlando Magic,,,2019-10-26,Under,Under,True,125.0,1206
Cleveland Cavaliers,Indiana Pacers,,,2019-10-26,Under,Under,True,72,1278
Chicago Bulls,Toronto Raptors,,,2019-10-26,Under,Under,True,105.0,1383
Houston Rockets,New Orleans Pelicans,,,2019-10-26,Over,Over,True,115.0,1498
San Antonio Spurs,Washington Wizards,,,2019-10-26,Over,Over,True,110.0,1608
Utah Jazz,Sacramento Kings,,,2019-10-26,Under,Under,True,72,1680
Phoenix Suns,LA Clippers,,,2019-10-26,-,Over,False,0,1680
Oklahoma City Thunder,Golden State Warriors,,,2019-10-27,Under,Under,True,120.0,1800
Memphis Grizzlies,Brooklyn Nets,,,2019-10-27,Over,Over,True,115.0,1915
Minnesota Timberwolves,Miami Heat,,,2019-10-27,Over,Over,True,110.0,2025
Dallas Mavericks,Portland Trail Blazers,,,2019-10-27,Over,Over,True,83,2108
Los Angeles Lakers,Charlotte Hornets,,,2019-10-27,-,Over,False,0,2108
Detroit Pistons,Indiana Pacers,,,2019-10-28,Under,Under,True,100.0,2208
New York Knicks,Chicago Bulls,,,2019-10-28,Under,Under,True,80,2288
Atlanta Hawks,Philadelphia 76ers,,,2019-10-28,Under,Under,True,90,2378
Toronto Raptors,Orlando Magic,,,2019-10-28,Under,Under,True,110.0,2488
New Orleans Pelicans,Golden State Warriors,,,2019-10-28,Over,Over,True,83,2571
Milwaukee Bucks,Cleveland Cavaliers,,,2019-10-28,Over,Over,True,83,2654
