Home Team,Away Team,Date,Result,Prediction,Correct?,Bet Result,Total,spread
Charlotte Hornets,New Orleans Pelicans,2022-10-21,W,1,True,83,83,-7.0
Washington Wizards,Chicago Bulls,2022-10-21,L,1,False,-100,-17,1.5
Indiana Pacers,San Antonio Spurs,2022-10-21,L,1,False,-100,-117,-3.5
New York Knicks,Detroit Pistons,2022-10-21,L,1,False,-100,-217,7.5
Brooklyn Nets,Toronto Raptors,2022-10-21,L,1,False,-100,-317,2.5
Atlanta Hawks,Orlando Magic,2022-10-21,W,0,False,0,-317,9.5
Miami Heat,Boston Celtics,2022-10-21,W,1,True,72,-245,-3.5
Minnesota Timberwolves,Utah Jazz,2022-10-21,W,1,True,80,-165,8.0
Houston Rockets,Memphis Grizzlies,2022-10-21,W,1,True,120.0,-45.0,-7.0
Golden State Warriors,Denver Nuggets,2022-10-21,W,1,True,120.0,75.0,4.5
Portland Trail Blazers,Phoenix Suns,2022-10-21,L,1,False,-100,-25.0,-5.0
Philadelphia 76ers,San Antonio Spurs,2022-10-22,W,1,True,105.0,80.0,13.5
Indiana Pacers,Detroit Pistons,2022-10-22,L,1,False,-100,-20.0,1.0
Orlando Magic,Boston Celtics,2022-10-22,L,1,False,-100,-120.0,-9.0
Milwaukee Bucks,Houston Rockets,2022-10-22,W,0,False,0,-120.0,13.0
Miami Heat,Toronto Raptors,2022-10-22,W,1,True,72,-48.0,3.0
Chicago Bulls,Cleveland Cavaliers,2022-10-22,W,1,True,120.0,72.0,-1.0
Dallas Mavericks,Memphis Grizzlies,2022-10-22,L,1,False,-100,-28.0,6.0
Denver Nuggets,Oklahoma City Thunder,2022-10-22,W,1,True,80,52.0,8.5
Sacramento Kings,LA Clippers,2022-10-22,-,1,False,0,52.0,0
Los Angeles Lakers,Portland Trail Blazers,2022-10-23,W,1,True,110.0,162.0,6.5
Atlanta Hawks,Charlotte Hornets,2022-10-23,W,1,True,115.0,277.0,10.0
Cleveland Cavaliers,Washington Wizards,2022-10-23,L,1,False,-100,177.0,-1.5
New Orleans Pelicans,Utah Jazz,2022-10-23,W,1,True,100.0,277.0,8.5
Oklahoma City Thunder,Minnesota Timberwolves,2022-10-23,W,1,True,90,367.0,-10.0
Golden State Warriors,Sacramento Kings,2022-10-23,W,1,True,83,450.0,10.0
LA Clippers,Phoenix Suns,2022-10-23,-,1,False,0,450.0,0
Philadelphia 76ers,Indiana Pacers,2022-10-24,L,1,False,-100,350.0,12.5
Miami Heat,Toronto Raptors,2022-10-24,W,1,True,90,440.0,3.5
New York Knicks,Orlando Magic,2022-10-24,W,0,False,0,440.0,7.5
Houston Rockets,Utah Jazz,2022-10-24,L,1,False,-100,340.0,-2.5
Memphis Grizzlies,Brooklyn Nets,2022-10-24,L,1,False,-100,240.0,1.5
Minnesota Timberwolves,San Antonio Spurs,2022-10-24,W,1,True,105.0,345.0,7.5
Chicago Bulls,Boston Celtics,2022-10-24,L,1,False,-100,245.0,-10.5
Portland Trail Blazers,Denver Nuggets,2022-10-24,W,0,False,0,245.0,-4.5
Washington Wizards,Detroit Pistons,2022-10-25,W,0,False,0,245.0,4.5
New Orleans Pelicans,Dallas Mavericks,2022-10-25,L,1,False,-100,145.0,-2.5
Oklahoma City Thunder,LA Clippers,2022-10-25,-,1,False,0,145.0,0
Phoenix Suns,Golden State Warriors,2022-10-25,L,1,False,-100,45.0,1.5
Cleveland Cavaliers,Orlando Magic,2022-10-26,L,1,False,-100,-55.0,8.5
Detroit Pistons,Atlanta Hawks,2022-10-26,L,1,False,-100,-155.0,-7.5
Milwaukee Bucks,Brooklyn Nets,2022-10-26,W,0,False,0,-155.0,3.5
New York Knicks,Charlotte Hornets,2022-10-26,W,1,True,110.0,-45.0,7.5
Toronto Raptors,Philadelphia 76ers,2022-10-26,L,1,False,-100,-145.0,-2.5
Chicago Bulls,Indiana Pacers,2022-10-26,W,0,False,0,-145.0,7.0
Minnesota Timberwolves,San Antonio Spurs,2022-10-26,L,1,False,-100,-245.0,9.5
Utah Jazz,Houston Rockets,2022-10-26,W,1,True,110.0,-135.0,9.5
Denver Nuggets,Los Angeles Lakers,2022-10-26,L,1,False,-100,-235.0,4.5
Portland Trail Blazers,Miami Heat,2022-10-26,W,1,True,105.0,-130.0,1.5
Brooklyn Nets,Dallas Mavericks,2022-10-27,W,1,True,125.0,-5.0,-3.0
Oklahoma City Thunder,LA Clippers,2022-10-27,-,1,False,0,-5.0,0
Sacramento Kings,Memphis Grizzlies,2022-10-27,W,1,True,72,67.0,4.5
Golden State Warriors,Miami Heat,2022-10-27,W,0,False,0,67.0,6.0
Detroit Pistons,Atlanta Hawks,2022-10-28,W,1,True,110.0,177.0,-6.0
Orlando Magic,Charlotte Hornets,2022-10-28,L,1,False,-100,77.0,-1.5
Washington Wizards,Indiana Pacers,2022-10-28,W,1,True,120.0,197.0,5.0
Toronto Raptors,Philadelphia 76ers,2022-10-28,W,1,True,80,277.0,4.5
Boston Celtics,Cleveland Cavaliers,2022-10-28,W,1,True,83,360.0,6.5
Milwaukee Bucks,New York Knicks,2022-10-28,W,0,False,0,360.0,6.5
Minnesota Timberwolves,Los Angeles Lakers,2022-10-28,W,0,False,0,360.0,8.5
San Antonio Spurs,Chicago Bulls,2022-10-28,L,1,False,-100,260.0,-4.5
Denver Nuggets,Utah Jazz,2022-10-28,L,1,False,-100,160.0,7.5
Portland Trail Blazers,Houston Rockets,2022-10-28,W,0,False,0,160.0,4.5
Phoenix Suns,New Orleans Pelicans,2022-10-28,L,1,False,-100,60.0,8.5
Sacramento Kings,Miami Heat,2022-10-29,L,1,False,-100,-40.0,-4.0
Charlotte Hornets,Golden State Warriors,2022-10-29,L,1,False,-100,-140.0,-10.0
Brooklyn Nets,Indiana Pacers,2022-10-29,W,1,True,90,-50.0,11.5
Chicago Bulls,Philadelphia 76ers,2022-10-29,W,1,True,90,40.0,-2.5
Milwaukee Bucks,Atlanta Hawks,2022-10-29,L,1,False,-100,-60.0,5.5
Dallas Mavericks,Oklahoma City Thunder,2022-10-29,W,1,True,110.0,50.0,10.5
Utah Jazz,Memphis Grizzlies,2022-10-29,L,1,False,-100,-50.0,-3.5
LA Clippers,New Orleans Pelicans,2022-10-30,-,1,False,0,-50.0,0
Detroit Pistons,Golden State Warriors,2022-10-30,L,1,False,-100,-150.0,-7.5
San Antonio Spurs,Minnesota Timberwolves,2022-10-30,L,1,False,-100,-250.0,-7.0
Dallas Mavericks,Orlando Magic,2022-10-30,W,1,True,105.0,-145.0,9.0
Phoenix Suns,Houston Rockets,2022-10-30,L,1,False,-100,-245.0,13.0
Los Angeles Lakers,Denver Nuggets,2022-10-30,L,1,False,-100,-345.0,-2.5
Washington Wizards,Philadelphia 76ers,2022-10-31,W,1,True,72,-273.0,-2.5
Charlotte Hornets,Sacramento Kings,2022-10-31,W,1,True,83,-190.0,-3.5
Brooklyn Nets,Indiana Pacers,2022-10-31,W,1,True,72,-118.0,8.0
Toronto Raptors,Atlanta Hawks,2022-10-31,L,1,False,-100,-218.0,2.0
Milwaukee Bucks,Detroit Pistons,2022-10-31,W,1,True,80,-138.0,12.5
Utah Jazz,Memphis Grizzlies,2022-10-31,L,1,False,-100,-238.0,-3.5
LA Clippers,Houston Rockets,2022-10-31,-,1,False,0,-238.0,0
Brooklyn Nets,Chicago Bulls,2022-11-01,W,1,True,80,-158.0,2.0
Miami Heat,Golden State Warriors,2022-11-01,L,1,False,-100,-258.0,1.0
Oklahoma City Thunder,Orlando Magic,2022-11-01,W,0,False,0,-258.0,3.5
Phoenix Suns,Minnesota Timberwolves,2022-11-01,W,0,False,0,-258.0,4.0
Philadelphia 76ers,Washington Wizards,2022-11-02,W,1,True,110.0,-148.0,5.5
New York Knicks,Atlanta Hawks,2022-11-02,W,1,True,125.0,-23.0,2.5
Miami Heat,Sacramento Kings,2022-11-02,W,1,True,83,60.0,4.5
Cleveland Cavaliers,Boston Celtics,2022-11-02,L,1,False,-100,-40.0,-1.5
Houston Rockets,LA Clippers,2022-11-02,-,1,False,0,-40.0,0
Milwaukee Bucks,Detroit Pistons,2022-11-02,W,0,False,0,-40.0,11.5
San Antonio Spurs,Toronto Raptors,2022-11-02,W,1,True,120.0,80.0,-6.5
Chicago Bulls,Charlotte Hornets,2022-11-02,W,0,False,0,80.0,6.5
Dallas Mavericks,Utah Jazz,2022-11-02,W,1,True,110.0,190.0,6.5
Portland Trail Blazers,Memphis Grizzlies,2022-11-02,W,0,False,0,190.0,-5.5
Los Angeles Lakers,New Orleans Pelicans,2022-11-02,L,1,False,-100,90.0,-2.5
Orlando Magic,Golden State Warriors,2022-11-03,L,1,False,-100,-10.0,-9.5
Oklahoma City Thunder,Denver Nuggets,2022-11-03,W,1,True,72,62.0,-6.5
Detroit Pistons,Cleveland Cavaliers,2022-11-04,W,1,True,120.0,182.0,-4.0
Washington Wizards,Brooklyn Nets,2022-11-04,W,1,True,120.0,302.0,3.0
Philadelphia 76ers,New York Knicks,2022-11-04,W,1,True,110.0,412.0,1.5
Indiana Pacers,Miami Heat,2022-11-04,L,1,False,-100,312.0,-3.0
Boston Celtics,Chicago Bulls,2022-11-04,W,1,True,115.0,427.0,7.5
San Antonio Spurs,LA Clippers,2022-11-04,-,1,False,0,427.0,0
Memphis Grizzlies,Charlotte Hornets,2022-11-04,L,1,False,-100,327.0,11.5
Dallas Mavericks,Toronto Raptors,2022-11-04,W,1,True,120.0,447.0,4.0
New Orleans Pelicans,Golden State Warriors,2022-11-04,W,1,True,115.0,562.0,10.5
Phoenix Suns,Portland Trail Blazers,2022-11-04,W,1,True,100.0,662.0,12.0
Minnesota Timberwolves,Milwaukee Bucks,2022-11-04,W,1,True,80,742.0,-2.0
Los Angeles Lakers,Utah Jazz,2022-11-04,W,1,True,90,832.0,3.0
Orlando Magic,Sacramento Kings,2022-11-05,L,1,False,-100,732.0,-4.5
Charlotte Hornets,Brooklyn Nets,2022-11-05,W,1,True,90,822.0,-3.5
New York Knicks,Boston Celtics,2022-11-05,W,1,True,115.0,937.0,-4.0
Atlanta Hawks,New Orleans Pelicans,2022-11-05,W,0,False,0,937.0,1.5
Milwaukee Bucks,Oklahoma City Thunder,2022-11-05,W,0,False,0,937.0,5.5
Minnesota Timberwolves,Houston Rockets,2022-11-05,W,0,False,0,937.0,7.5
Denver Nuggets,San Antonio Spurs,2022-11-05,W,0,False,0,937.0,12.0
Phoenix Suns,Portland Trail Blazers,2022-11-05,L,1,False,-100,837.0,12.0
Los Angeles Lakers,Cleveland Cavaliers,2022-11-06,W,1,True,110.0,947.0,-5.5
Toronto Raptors,Chicago Bulls,2022-11-06,L,1,False,-100,847.0,4.0
Memphis Grizzlies,Washington Wizards,2022-11-06,W,1,True,90,937.0,9.5
LA Clippers,Utah Jazz,2022-11-06,-,1,False,0,937.0,0
Charlotte Hornets,Washington Wizards,2022-11-07,W,1,True,105.0,1042.0,2.5
Orlando Magic,Houston Rockets,2022-11-07,W,1,True,105.0,1147.0,0.5
Detroit Pistons,Oklahoma City Thunder,2022-11-07,L,1,False,-100,1047.0,-4.5
Indiana Pacers,New Orleans Pelicans,2022-11-07,L,1,False,-100,947.0,-1.5
Philadelphia 76ers,Phoenix Suns,2022-11-07,L,1,False,-100,847.0,5.5
Atlanta Hawks,Milwaukee Bucks,2022-11-07,L,1,False,-100,747.0,3.5
Miami Heat,Portland Trail Blazers,2022-11-07,W,1,True,83,830.0,11.5
Chicago Bulls,Toronto Raptors,2022-11-07,L,1,False,-100,730.0,12.5
Memphis Grizzlies,Boston Celtics,2022-11-07,W,1,True,83,813.0,1.5
Minnesota Timberwolves,New York Knicks,2022-11-07,W,0,False,0,813.0,-16.5
San Antonio Spurs,Denver Nuggets,2022-11-07,L,1,False,-100,713.0,-10.5
Dallas Mavericks,Brooklyn Nets,2022-11-07,L,0,True,0,713.0,3.5
Golden State Warriors,Sacramento Kings,2022-11-07,L,1,False,-100,613.0,-2.5
Utah Jazz,Los Angeles Lakers,2022-11-07,L,1,False,-100,513.0,8.5
LA Clippers,Cleveland Cavaliers,2022-11-07,-,1,False,0,513.0,0
Orlando Magic,Dallas Mavericks,2022-11-09,L,1,False,-100,413.0,-8.5
Indiana Pacers,Denver Nuggets,2022-11-09,L,1,False,-100,313.0,-4.5
Charlotte Hornets,Portland Trail Blazers,2022-11-09,W,1,True,105.0,418.0,-1.5
Boston Celtics,Detroit Pistons,2022-11-09,W,0,False,0,418.0,13.0
Toronto Raptors,Houston Rockets,2022-11-09,W,1,True,83,501.0,10.0
Atlanta Hawks,Utah Jazz,2022-11-09,W,1,True,72,573.0,4.5
Brooklyn Nets,New York Knicks,2022-11-09,L,1,False,-100,473.0,3.5
Oklahoma City Thunder,Milwaukee Bucks,2022-11-09,W,1,True,72,545.0,-1.5
Minnesota Timberwolves,Phoenix Suns,2022-11-09,W,1,True,90,635.0,1.5
Chicago Bulls,New Orleans Pelicans,2022-11-09,W,1,True,83,718.0,-2.0
San Antonio Spurs,Memphis Grizzlies,2022-11-09,L,1,False,-100,618.0,-5.5
Sacramento Kings,Cleveland Cavaliers,2022-11-09,L,1,False,-100,518.0,-4.5
LA Clippers,Los Angeles Lakers,2022-11-09,-,1,False,0,518.0,0
Washington Wizards,Dallas Mavericks,2022-11-10,L,1,False,-100,418.0,-6.0
Atlanta Hawks,Philadelphia 76ers,2022-11-10,W,0,False,0,418.0,1.0
Miami Heat,Charlotte Hornets,2022-11-10,W,1,True,83,501.0,10.5
New Orleans Pelicans,Portland Trail Blazers,2022-11-10,W,1,True,83,584.0,10.0
Orlando Magic,Phoenix Suns,2022-11-11,L,1,False,-100,484.0,-7.5
Boston Celtics,Denver Nuggets,2022-11-11,L,1,False,-100,384.0,4.0
New York Knicks,Detroit Pistons,2022-11-11,W,1,True,115.0,499.0,9.5
Oklahoma City Thunder,Toronto Raptors,2022-11-11,L,1,False,-100,399.0,-5.5
San Antonio Spurs,Milwaukee Bucks,2022-11-11,L,1,False,-100,299.0,2.0
Memphis Grizzlies,Minnesota Timberwolves,2022-11-11,L,1,False,-100,199.0,4.5
Golden State Warriors,Cleveland Cavaliers,2022-11-11,L,1,False,-100,99.0,3.0
Los Angeles Lakers,Sacramento Kings,2022-11-11,W,1,True,83,182.0,-4.5
LA Clippers,Brooklyn Nets,2022-11-12,-,1,False,0,182.0,0
Washington Wizards,Utah Jazz,2022-11-12,L,1,False,-100,82.0,-4.0
Indiana Pacers,Toronto Raptors,2022-11-12,L,1,False,-100,-18.0,3.0
Detroit Pistons,Boston Celtics,2022-11-12,W,1,True,105.0,87.0,-9.0
Philadelphia 76ers,Atlanta Hawks,2022-11-12,L,1,False,-100,-13.0,2.5
Miami Heat,Charlotte Hornets,2022-11-12,L,1,False,-100,-113.0,8.5
New Orleans Pelicans,Houston Rockets,2022-11-12,L,1,False,-100,-213.0,10.5
Dallas Mavericks,Portland Trail Blazers,2022-11-12,W,1,True,83,-130.0,7.0
