Home Team,Away Team,Home Odds,Away Odds,Date,Result,Prediction,Correct?,Bet Result,Total
Charlotte Hornets,New Orleans Pelicans,3.2,1.37,2022-10-21,L,Away W,True,37,37
Washington Wizards,Chicago Bulls,1.79,2.08,2022-10-21,W,Home W,True,79,116
Indiana Pacers,San Antonio Spurs,2.38,1.56,2022-10-21,L,Home W,False,-100,16
New York Knicks,Detroit Pistons,1.34,3.35,2022-10-21,W,Home W,True,34,50
Brooklyn Nets,Toronto Raptors,1.72,2.18,2022-10-21,W,Home W,True,72,122
Atlanta Hawks,Orlando Magic,1.23,4.4,2022-10-21,W,Home W,True,23,145
Miami Heat,Boston Celtics,2.26,1.62,2022-10-21,L,Away W,True,61,206
Minnesota Timberwolves,Utah Jazz,1.3,3.65,2022-10-21,L,Away W,True,265.0,471
Houston Rockets,Memphis Grizzlies,3.25,1.36,2022-10-21,L,Away W,True,36,507
Golden State Warriors,Denver Nuggets,1.47,2.64,2022-10-21,L,Away W,True,164.0,671
Portland Trail Blazers,Phoenix Suns,2.76,1.48,2022-10-21,W,Home W,True,176.0,847
Philadelphia 76ers,San Antonio Spurs,1.09,8.0,2022-10-22,L,Away W,True,700.0,1547
Indiana Pacers,Detroit Pistons,1.93,1.93,2022-10-22,W,Home W,True,92,1639
Orlando Magic,Boston Celtics,4.0,1.27,2022-10-22,L,Away W,True,26,1665
Milwaukee Bucks,Houston Rockets,1.11,7.1,2022-10-22,W,Home W,True,11,1676
Miami Heat,Toronto Raptors,1.65,2.3,2022-10-22,W,Away W,False,-100,1576
Chicago Bulls,Cleveland Cavaliers,1.94,1.91,2022-10-22,L,Away W,True,90,1666
Dallas Mavericks,Memphis Grizzlies,1.45,2.84,2022-10-22,W,Home W,True,45,1711
Denver Nuggets,Oklahoma City Thunder,1.26,4.1,2022-10-22,W,Away W,False,-100,1611
Sacramento Kings,LA Clippers,-,-,2022-10-22,L,Home W,False,-100,1511
Los Angeles Lakers,Portland Trail Blazers,1.34,3.15,2022-10-23,L,Away W,True,215.0,1726
Atlanta Hawks,Charlotte Hornets,1.21,4.7,2022-10-23,L,Away W,True,370.0,2096
Cleveland Cavaliers,Washington Wizards,2.0,1.78,2022-10-23,W,Home W,True,100.0,2196
New Orleans Pelicans,Utah Jazz,1.29,3.75,2022-10-23,L,Away W,True,275.0,2471
Oklahoma City Thunder,Minnesota Timberwolves,4.8,1.2,2022-10-23,L,Away W,True,20,2491
Golden State Warriors,Sacramento Kings,1.21,4.7,2022-10-23,W,Home W,True,20,2511
LA Clippers,Phoenix Suns,-,-,2022-10-23,L,Away W,True,0,2511
Philadelphia 76ers,Indiana Pacers,1.11,7.4,2022-10-24,W,Home W,True,10,2521
Miami Heat,Toronto Raptors,1.57,2.36,2022-10-24,L,Away W,True,136.0,2657
New York Knicks,Orlando Magic,1.33,3.45,2022-10-24,W,Home W,True,33,2690
Houston Rockets,Utah Jazz,2.2,1.7,2022-10-24,W,Home W,True,120.0,2810
Memphis Grizzlies,Brooklyn Nets,1.89,1.96,2022-10-24,W,Home W,True,89,2899
Minnesota Timberwolves,San Antonio Spurs,1.29,3.55,2022-10-24,L,Away W,True,255.0,3154
Chicago Bulls,Boston Celtics,5.0,1.16,2022-10-24,W,Home W,True,400.0,3554
Portland Trail Blazers,Denver Nuggets,2.52,1.51,2022-10-24,W,Home W,True,152.0,3706
Washington Wizards,Detroit Pistons,1.49,2.58,2022-10-25,W,Home W,True,48,3754
New Orleans Pelicans,Dallas Mavericks,2.2,1.65,2022-10-25,W,Home W,True,120.0,3874
Oklahoma City Thunder,LA Clippers,-,-,2022-10-25,W,Home W,True,0,3874
Phoenix Suns,Golden State Warriors,1.85,2.0,2022-10-25,W,Home W,True,84,3958
Cleveland Cavaliers,Orlando Magic,1.23,4.0,2022-10-26,W,Home W,True,23,3981
Detroit Pistons,Atlanta Hawks,3.65,1.27,2022-10-26,L,Away W,True,27,4008
Milwaukee Bucks,Brooklyn Nets,1.56,2.38,2022-10-26,W,Home W,True,56,4064
New York Knicks,Charlotte Hornets,1.33,3.45,2022-10-26,W,Away W,False,-100,3964
Toronto Raptors,Philadelphia 76ers,2.16,1.68,2022-10-26,W,Home W,True,116.0,4080
Chicago Bulls,Indiana Pacers,1.36,3.25,2022-10-26,W,Home W,True,36,4116
Minnesota Timberwolves,San Antonio Spurs,1.23,4.4,2022-10-26,W,Home W,True,23,4139
