Home Team,Away Team,Date,Result,Prediction,Correct?,Bet Result,Total,spread
Charlotte Hornets,New Orleans Pelicans,2022-10-21,W,1,True,72,72,-7.0
Washington Wizards,Chicago Bulls,2022-10-21,L,1,False,-100,-28,1.5
Indiana Pacers,San Antonio Spurs,2022-10-21,L,1,False,-100,-128,-3.5
New York Knicks,Detroit Pistons,2022-10-21,L,1,False,-100,-228,7.5
Brooklyn Nets,Toronto Raptors,2022-10-21,L,1,False,-100,-328,2.5
Atlanta Hawks,Orlando Magic,2022-10-21,W,0,False,0,-328,9.5
Miami Heat,Boston Celtics,2022-10-21,W,1,True,83,-245,-3.5
Minnesota Timberwolves,Utah Jazz,2022-10-21,W,1,True,120.0,-125.0,8.0
Houston Rockets,Memphis Grizzlies,2022-10-21,W,1,True,80,-45.0,-7.0
Golden State Warriors,Denver Nuggets,2022-10-21,W,1,True,115.0,70.0,4.5
Portland Trail Blazers,Phoenix Suns,2022-10-21,L,1,False,-100,-30.0,-5.0
Philadelphia 76ers,San Antonio Spurs,2022-10-22,W,1,True,90,60.0,13.5
Indiana Pacers,Detroit Pistons,2022-10-22,L,1,False,-100,-40.0,1.0
Orlando Magic,Boston Celtics,2022-10-22,L,1,False,-100,-140.0,-9.0
Milwaukee Bucks,Houston Rockets,2022-10-22,W,0,False,0,-140.0,13.0
Miami Heat,Toronto Raptors,2022-10-22,W,1,True,83,-57.0,3.0
Chicago Bulls,Cleveland Cavaliers,2022-10-22,W,1,True,125.0,68.0,-1.0
Dallas Mavericks,Memphis Grizzlies,2022-10-22,L,1,False,-100,-32.0,6.0
Denver Nuggets,Oklahoma City Thunder,2022-10-22,W,1,True,110.0,78.0,8.5
Sacramento Kings,LA Clippers,2022-10-22,-,1,False,0,78.0,0
Los Angeles Lakers,Portland Trail Blazers,2022-10-23,W,1,True,80,158.0,6.5
Atlanta Hawks,Charlotte Hornets,2022-10-23,W,1,True,115.0,273.0,10.0
Cleveland Cavaliers,Washington Wizards,2022-10-23,L,1,False,-100,173.0,-1.5
New Orleans Pelicans,Utah Jazz,2022-10-23,W,1,True,80,253.0,8.5
Oklahoma City Thunder,Minnesota Timberwolves,2022-10-23,W,1,True,83,336.0,-10.0
Golden State Warriors,Sacramento Kings,2022-10-23,W,1,True,83,419.0,10.0
LA Clippers,Phoenix Suns,2022-10-23,-,1,False,0,419.0,0
Philadelphia 76ers,Indiana Pacers,2022-10-24,L,1,False,-100,319.0,12.5
Miami Heat,Toronto Raptors,2022-10-24,W,1,True,100.0,419.0,3.5
New York Knicks,Orlando Magic,2022-10-24,W,0,False,0,419.0,7.5
Houston Rockets,Utah Jazz,2022-10-24,L,1,False,-100,319.0,-2.5
Memphis Grizzlies,Brooklyn Nets,2022-10-24,L,1,False,-100,219.0,1.5
Minnesota Timberwolves,San Antonio Spurs,2022-10-24,W,1,True,72,291.0,7.5
Chicago Bulls,Boston Celtics,2022-10-24,L,1,False,-100,191.0,-10.5
Portland Trail Blazers,Denver Nuggets,2022-10-24,W,0,False,0,191.0,-4.5
Washington Wizards,Detroit Pistons,2022-10-25,W,0,False,0,191.0,4.5
New Orleans Pelicans,Dallas Mavericks,2022-10-25,L,1,False,-100,91.0,-2.5
Oklahoma City Thunder,LA Clippers,2022-10-25,-,1,False,0,91.0,0
Phoenix Suns,Golden State Warriors,2022-10-25,L,1,False,-100,-9.0,1.5
Cleveland Cavaliers,Orlando Magic,2022-10-26,L,1,False,-100,-109.0,8.5
Detroit Pistons,Atlanta Hawks,2022-10-26,L,1,False,-100,-209.0,-7.5
Milwaukee Bucks,Brooklyn Nets,2022-10-26,W,0,False,0,-209.0,3.5
New York Knicks,Charlotte Hornets,2022-10-26,W,1,True,120.0,-89.0,7.5
Toronto Raptors,Philadelphia 76ers,2022-10-26,L,1,False,-100,-189.0,-2.5
Chicago Bulls,Indiana Pacers,2022-10-26,W,0,False,0,-189.0,7.0
Minnesota Timberwolves,San Antonio Spurs,2022-10-26,L,1,False,-100,-289.0,9.5
Utah Jazz,Houston Rockets,2022-10-26,W,1,True,72,-217.0,9.5
Denver Nuggets,Los Angeles Lakers,2022-10-26,L,1,False,-100,-317.0,4.5
Portland Trail Blazers,Miami Heat,2022-10-26,W,1,True,83,-234.0,1.5
Brooklyn Nets,Dallas Mavericks,2022-10-27,W,1,True,83,-151.0,-3.0
Oklahoma City Thunder,LA Clippers,2022-10-27,-,1,False,0,-151.0,0
Sacramento Kings,Memphis Grizzlies,2022-10-27,W,1,True,83,-68.0,4.5
Golden State Warriors,Miami Heat,2022-10-27,W,0,False,0,-68.0,6.0
Detroit Pistons,Atlanta Hawks,2022-10-28,W,1,True,115.0,47.0,-6.0
Orlando Magic,Charlotte Hornets,2022-10-28,L,1,False,-100,-53.0,-1.5
Washington Wizards,Indiana Pacers,2022-10-28,W,1,True,125.0,72.0,5.0
Toronto Raptors,Philadelphia 76ers,2022-10-28,W,1,True,72,144.0,4.5
Boston Celtics,Cleveland Cavaliers,2022-10-28,W,1,True,72,216.0,6.5
Milwaukee Bucks,New York Knicks,2022-10-28,W,0,False,0,216.0,6.5
Minnesota Timberwolves,Los Angeles Lakers,2022-10-28,W,0,False,0,216.0,8.5
San Antonio Spurs,Chicago Bulls,2022-10-28,L,1,False,-100,116.0,-4.5
Denver Nuggets,Utah Jazz,2022-10-28,L,1,False,-100,16.0,7.5
Portland Trail Blazers,Houston Rockets,2022-10-28,W,0,False,0,16.0,4.5
Phoenix Suns,New Orleans Pelicans,2022-10-28,L,1,False,-100,-84.0,8.5
Sacramento Kings,Miami Heat,2022-10-29,L,1,False,-100,-184.0,-4.0
Charlotte Hornets,Golden State Warriors,2022-10-29,L,1,False,-100,-284.0,-10.0
Brooklyn Nets,Indiana Pacers,2022-10-29,W,1,True,105.0,-179.0,11.5
Chicago Bulls,Philadelphia 76ers,2022-10-29,W,1,True,105.0,-74.0,-2.5
Milwaukee Bucks,Atlanta Hawks,2022-10-29,L,1,False,-100,-174.0,5.5
Dallas Mavericks,Oklahoma City Thunder,2022-10-29,W,1,True,83,-91.0,10.5
Utah Jazz,Memphis Grizzlies,2022-10-29,L,1,False,-100,-191.0,-3.5
LA Clippers,New Orleans Pelicans,2022-10-30,-,1,False,0,-191.0,0
Detroit Pistons,Golden State Warriors,2022-10-30,L,1,False,-100,-291.0,-7.5
San Antonio Spurs,Minnesota Timberwolves,2022-10-30,L,1,False,-100,-391.0,-7.0
Dallas Mavericks,Orlando Magic,2022-10-30,W,1,True,100.0,-291.0,9.0
Phoenix Suns,Houston Rockets,2022-10-30,L,1,False,-100,-391.0,13.0
Los Angeles Lakers,Denver Nuggets,2022-10-30,L,1,False,-100,-491.0,-2.5
Washington Wizards,Philadelphia 76ers,2022-10-31,W,1,True,80,-411.0,-2.5
